curve,angle_deg,distortion,scale_q16
infrared,0,0,65536
infrared,0.93,6.49904E-05,65540
infrared,1.86,0.0001307468,65545
infrared,2.79,0.0001971913,65549
infrared,3.72,0.0002642795,65553
infrared,4.65,0.000331936,65558
infrared,5.58,0.0004000546,65562
infrared,6.51,0.0004684986,65567
infrared,7.44,0.0005371009,65571
infrared,8.37,0.0006056646,65576
infrared,9.3,0.0006739634,65580
infrared,10.23,0.0007417423,65585
infrared,11.16,0.0008087176,65589
infrared,12.09,0.0008745786,65593
infrared,13.02,0.0009389874,65598
infrared,13.95,0.0010015805,65602
infrared,14.88,0.0010619691,65606
infrared,15.81,0.0011197405,65609
infrared,16.74,0.001174459,65613
infrared,17.67,0.0012256671,65616
infrared,18.6,0.0012728865,65619
infrared,19.53,0.0013156196,65622
infrared,20.46,0.0013533506,65625
infrared,21.39,0.001385547,65627
infrared,22.32,0.0014116607,65629
infrared,23.25,0.0014311301,65630
infrared,24.18,0.001443381,65631
infrared,25.11,0.0014478284,65631
infrared,26.04,0.001443878,65631
infrared,26.97,0.0014309278,65630
infrared,27.9,0.00140837,65628
infrared,28.83,0.0013755921,65626
infrared,29.76,0.0013319792,65623
infrared,30.69,0.001276915,65620
infrared,31.62,0.0012097842,65615
infrared,32.55,0.0011299733,65610
infrared,33.48,0.0010368731,65604
infrared,34.41,0.0009298798,65597
infrared,35.34,0.0008083964,65589
infrared,36.27,0.0006718348,65580
infrared,37.2,0.0005196171,65570
infrared,38.13,0.0003511766,65559
infrared,39.06,0.00016596,65547
infrared,39.99,-3.6572E-05,65534
infrared,40.92,-0.0002569432,65519
infrared,41.85,-0.0004956607,65504
infrared,42.78,-0.0007532137,65487
infrared,43.71,-0.0010300729,65468
infrared,44.64,-0.0013266894,65449
infrared,45.57,-0.0016434938,65428
infrared,46.5,-0.0019808958,65406
infrared,47.43,-0.0023392836,65383
infrared,48.36,-0.0027190236,65358
infrared,49.29,-0.0031204598,65331
infrared,50.22,-0.003543914,65304
infrared,51.15,-0.0039896858,65275
infrared,52.08,-0.0044580525,65244
infrared,53.01,-0.0049492696,65212
infrared,53.94,-0.0054635714,65178
infrared,54.87,-0.0060011711,65143
infrared,55.8,-0.0065622623,65106
infrared,56.73,-0.0071470191,65068
infrared,57.66,-0.0077555978,65028
infrared,58.59,-0.0083881379,64986
infrared,59.52,-0.0090447636,64943
infrared,60.45,-0.009725585,64899
infrared,61.38,-0.0104307004,64852
infrared,62.31,-0.0111601976,64805
infrared,63.24,-0.0119141561,64755
infrared,64.17,-0.0126926496,64704
